,Feature,Importance
0,spread,6.205959841874714e-05
1,imbalance_1,0.00027532699547995265
2,imbalance_3,0.0016226533549140358
3,imbalance_5,0.001431897565318574
4,buy_10s_volume,0.0019589719545385653
5,sell_10s_volume,0.0032015776808371394
6,buy_1min_volume,0.011691535983765388
7,sell_1min_volume,0.021843635503179682
8,buy_5min_volume,0.026737923053584405
9,sell_5min_volume,0.03052028111680954
10,volatility_10s,0.0015231782839045499
11,volatility_1min,0.016054003130999604
12,volatility_5min,0.04746292090197431
13,spread_ma_1min,0.01509842292697557
14,spread_ma_5min,0.03587588091267685
15,imbalance_1_ma_1min,0.017220283154189123
16,imbalance_1_ma_5min,0.03923280243615888
17,buy_10s_volume_ma_1min,0.010939157315587759
18,buy_10s_volume_ma_5min,0.030556428604368347
19,sell_10s_volume_ma_1min,0.016867091898215853
20,sell_10s_volume_ma_5min,0.03291244371626865
21,volatility_10s_ma_1min,0.011447154546626124
22,volatility_10s_ma_5min,0.04739490370642887
23,imbalance_3_ma_5min,0.04382160716983739
24,buy_1min_volume_ma_5min,0.03142889472631046
25,sell_1min_volume_ma_5min,0.028584319516342785
26,volatility_1min_ma_5min,0.038400436918162896
27,imbalance_1_change,0.00019921555730119741
28,imbalance_3_change,0.0005893919599971091
29,imbalance_5_change,0.0010208804041889038
30,log_buy_sell_volume_ratio_10s,0.0011462331478482787
31,log_buy_sell_volume_ratio_1min,0.01679749012196827
32,log_buy_sell_volume_ratio_5min,0.04803178398241381
33,spread_lag_1,9.880914193017171e-05
34,imbalance_1_lag_1,0.0003371803961920481
35,imbalance_3_lag_1,0.0007807578665451875
36,imbalance_5_lag_1,0.0017807377112830265
37,mid_p_change_5min_lag_1,0.2578762601382677
38,spread_imbalance1,0.0002964410917891233
39,z_score_spread_20,0.00021538551214068987
40,z_score_spread_120,0.0010631693008157103
41,z_score_spread_600,0.0036025679341809462
42,bid_total_size,0.001996311476900819
43,ask_total_size,0.0016413281159920786
44,bid_ask_ratio,0.001303299680406718
45,atr,0.0970569637879643
