,feature,VIF
0,spread,380.6375247163122
1,bid_size_0,inf
2,bid_size_1,inf
3,bid_size_2,inf
4,bid_size_3,inf
5,bid_size_4,inf
6,ask_size_0,inf
7,ask_size_1,inf
8,ask_size_2,inf
9,ask_size_3,inf
10,ask_size_4,inf
11,imbalance_1,inf
12,imbalance_3,inf
13,imbalance_5,inf
14,buy_10s_volume,4.643191653292472
15,sell_10s_volume,4.242832657217075
16,buy_1min_volume,3.88937855901452
17,sell_1min_volume,3.6565088441308427
18,buy_5min_volume,17.96853637179541
19,sell_5min_volume,16.923641550910258
20,volatility_10s,4.129316965713282
21,volatility_1min,6.074697891444337
22,volatility_5min,8.138632220207134
23,spread_ma_10,38.99404556383844
24,spread_ma_50,98.30957133312768
25,spread_ma_200,226.66183087518914
26,buy_10s_volume_ma_10,5.489637965242377
27,buy_10s_volume_ma_50,5.490936590909808
28,buy_10s_volume_ma_200,9.048573638864667
29,sell_10s_volume_ma_10,5.383378285227828
30,sell_10s_volume_ma_50,5.416384697092175
31,sell_10s_volume_ma_200,9.394533997979591
32,momentum,2.525843423920874
33,tr,6.1102410227119055
34,atr,9.033131865810567
35,bid_ask_ratio,1.719512818135233
36,imbalance_1_change,inf
37,imbalance_3_change,inf
38,imbalance_5_change,inf
39,buy_sell_volume_ratio_10s,1.5724726796568085
40,buy_sell_volume_ratio_1min,1.0647737632312486
41,buy_sell_volume_ratio_5min,12.777802739420425
42,spread_lag_1,15.536829816386565
43,imbalance_1_lag_1,inf
44,imbalance_3_lag_1,inf
45,imbalance_5_lag_1,inf
46,spread_imbalance1,7.289098516155855
47,z_score_spread_500,42.201324173734335
48,z_score_spread_3000,24.857181529637774
49,bid_total_size,inf
50,ask_total_size,inf
51,z_score_spread_100,27.920633031706597
