Variable,Lag,ACF,PACF
imbalance_1,7,0.300,0.017
imbalance_1,8,0.271,0.017
imbalance_1,9,0.246,0.011
imbalance_1,10,0.226,0.015
imbalance_1,11,0.207,0.008
imbalance_1,12,0.193,0.015
imbalance_1,13,0.178,0.006
imbalance_1,14,0.166,0.008
imbalance_1,15,0.156,0.008
imbalance_3,0,1.000,1.000
imbalance_3,1,0.819,0.819
imbalance_3,2,0.727,0.170
imbalance_3,3,0.658,0.075
imbalance_3,4,0.603,0.050
imbalance_3,5,0.558,0.038
imbalance_3,6,0.518,0.025
imbalance_3,7,0.485,0.026
imbalance_3,8,0.456,0.023
imbalance_3,9,0.430,0.016
imbalance_3,10,0.409,0.022
imbalance_3,11,0.388,0.013
imbalance_3,12,0.371,0.017
imbalance_3,13,0.357,0.019
imbalance_3,14,0.342,0.011
imbalance_3,15,0.329,0.011
imbalance_5,0,1.000,1.000
imbalance_5,1,0.866,0.866
imbalance_5,2,0.802,0.206
imbalance_5,3,0.752,0.094
imbalance_5,4,0.712,0.062
imbalance_5,5,0.679,0.050
imbalance_5,6,0.649,0.034
imbalance_5,7,0.623,0.031
imbalance_5,8,0.600,0.028
imbalance_5,9,0.578,0.016
imbalance_5,10,0.560,0.027
imbalance_5,11,0.542,0.017
imbalance_5,12,0.527,0.022
imbalance_5,13,0.513,0.018
imbalance_5,14,0.500,0.016
imbalance_5,15,0.489,0.017
buy_10s_volume,0,1.000,1.000
buy_10s_volume,1,0.969,0.969
buy_10s_volume,2,0.935,-0.073
buy_10s_volume,3,0.899,-0.038
buy_10s_volume,4,0.862,-0.032
buy_10s_volume,5,0.824,-0.030
buy_10s_volume,6,0.786,-0.024
buy_10s_volume,7,0.749,-0.014
buy_10s_volume,8,0.710,-0.032
buy_10s_volume,9,0.672,-0.025
buy_10s_volume,10,0.633,-0.024
buy_10s_volume,11,0.595,-0.021
buy_10s_volume,12,0.557,-0.020
buy_10s_volume,13,0.519,-0.027
buy_10s_volume,14,0.480,-0.025
buy_10s_volume,15,0.439,-0.073
sell_10s_volume,0,1.000,1.000
