,feature,VIF
0,spread,4.3903281715340094
1,bid_size_0,1.236356500282563
2,bid_size_1,1.4036338667682706
3,bid_size_2,1.904443194397731
4,bid_size_3,1.765007840463799
5,bid_size_4,2.5133780634489185
6,ask_size_1,1.1639135964670564
7,ask_size_2,1.2334263503746645
8,ask_size_3,1.3080012114846578
9,ask_size_4,1.2964539452644221
10,imbalance_1,1.4924336614289828
11,imbalance_3,3.33190396895225
12,imbalance_5,2.9553436619938283
13,buy_10s_volume,2.4338583111510808
14,sell_10s_volume,2.3588653783205404
15,buy_1min_volume,6.212722648957155
16,sell_1min_volume,6.023832462576528
17,buy_5min_volume,13.615928504684545
18,sell_5min_volume,14.07799508492476
19,volatility_10s,3.590526065011395
20,volatility_1min,5.596584244886355
21,volatility_5min,6.326608905786339
